"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동135",1,대전광역시 대덕구 대화3길 18,,36.36603665,127.41465290,,,042-120,대전광역시,2022-12-15
"대화동136",1,대전광역시 대덕구 대화9길 5-1,,36.36618799,127.41570560,,,042-120,대전광역시,2022-12-15
"대화동137",1,대전광역시 대덕구 대화9길 7,,36.36623052,127.41591530,,,042-120,대전광역시,2022-12-15
"대화동138",1,대전광역시 대덕구 대화15길 63,,36.36601326,127.41619490,,,042-120,대전광역시,2022-12-15
"대화동139",1,대전광역시 대덕구 대화9길 18,,36.36595295,127.41591830,,,042-120,대전광역시,2022-12-15
"대화동140",1,대전광역시 대덕구 동심1길 98,,36.36367164,127.41370890,,,042-120,대전광역시,2022-12-15
"대화동141",1,대전광역시 대덕구 동심1길 86,,36.36367464,127.41388270,,,042-120,대전광역시,2022-12-15
"대화동142",1,대전광역시 대덕구 동심1길 108,,36.36401371,127.41381770,,,042-120,대전광역시,2022-12-15
"대화동143",1,대전광역시 대덕구 동심1길 122,,36.36373412,127.41336160,,,042-120,대전광역시,2022-12-15
"대화동144",1,대전광역시 대덕구 동심1길 83,,36.36343152,127.41330650,,,042-120,대전광역시,2022-12-15
"대화동145",1,대전광역시 대덕구 동심1길 144,,36.36378865,127.41322820,,,042-120,대전광역시,2022-12-15
"대화동146",1,대전광역시 대덕구 동심1길 134,,36.36404065,127.41332310,,,042-120,대전광역시,2022-12-15
"대화동147",1,대전광역시 대덕구 동심5길 94,,36.36379908,127.41287170,,,042-120,대전광역시,2022-12-15
"대화동148",1,대전광역시 대덕구 동심5길 69,,36.36392603,127.41311300,,,042-120,대전광역시,2022-12-15
"대화동149",1,대전광역시 대덕구 동심1길 130,,36.36420608,127.41343540,,,042-120,대전광역시,2022-12-15
"대화동150",1,대전광역시 대덕구 동심5길 88,,36.36401322,127.41291740,,,042-120,대전광역시,2022-12-15
"대화동151",1,대전광역시 대덕구 동심5길 68,,36.36424425,127.41282050,,,042-120,대전광역시,2022-12-15
"대화동153",1,대전광역시 대덕구 늘봄1길 32,,36.36442143,127.41370390,,,042-120,대전광역시,2022-12-15
"대화동154",1,대전광역시 대덕구 늘봄1길 36,,36.36447994,127.41346360,,,042-120,대전광역시,2022-12-15
"대화동155",1,대전광역시 대덕구 동심8길 7,,36.36412741,127.41220930,,,042-120,대전광역시,2022-12-15
"대화동157",1,대전광역시 대덕구 동심1길 115,,36.36371866,127.41262160,,,042-120,대전광역시,2022-12-15
"대화동158",1,대전광역시 대덕구 동심1길 121,,36.36358983,127.41234910,,,042-120,대전광역시,2022-12-15
"대화동159",1,대전광역시 대덕구 동심8길 14,,36.36372156,127.41177930,,,042-120,대전광역시,2022-12-15
"대화동160",1,대전광역시 대덕구 동심8길 19,,36.36343606,127.41199170,,,042-120,대전광역시,2022-12-15
"대화동161",1,대전광역시 대덕구 동심1길 170,,36.36404013,127.41243170,,,042-120,대전광역시,2022-12-15
"대화동162",1,대전광역시 대덕구 동심1길 160,,36.36401796,127.41258760,,,042-120,대전광역시,2022-12-15
"대화동163",1,대전광역시 대덕구 동심1길 91,,36.36368521,127.41291120,,,042-120,대전광역시,2022-12-15
"대화동164",1,대전광역시 대덕구 동심1길 95,,36.36351592,127.41287460,,,042-120,대전광역시,2022-12-15
"대화동165",1,대전광역시 대덕구 동심1길 106,,36.36394907,127.41374600,,,042-120,대전광역시,2022-12-15
"대화동166",1,대전광역시 대덕구 동심1길 58,,36.36358878,127.41473350,,,042-120,대전광역시,2022-12-15
"대화동168",1,대전광역시 대덕구 동심9길 7,,36.36452963,127.41159890,,,042-120,대전광역시,2022-12-15
"대화동169",1,대전광역시 대덕구 동심9길 15,,36.36479036,127.41125460,,,042-120,대전광역시,2022-12-15
"대화동170",1,대전광역시 대덕구 동심9길 19,,36.36491704,127.41110370,,,042-120,대전광역시,2022-12-15
"대화동171",1,대전광역시 대덕구 동심9길 27,,36.36519935,127.41077090,,,042-120,대전광역시,2022-12-15
